編號,起站,基隆,三坑,八堵,七堵,百福,五堵,汐止,汐科,南港,松山,臺北,萬華,板橋,浮洲,樹林,南樹林,山佳,鶯歌,桃園,內壢,中壢,埔心,楊梅,富岡,新富,北湖,湖口,新豐,竹北,北新竹,千甲,新莊,竹中,六家,上員,榮華,竹東,橫山,九讚頭,合興,富貴,內灣,新竹,三姓橋,香山,崎頂,竹南,談文,大山,後龍,龍港,白沙屯,新埔,通霄,苑裡,日南,大甲,臺中港,清水,沙鹿,龍井,大肚,追分,造橋,豐富,苗栗,南勢,銅鑼,三義,泰安,后里,豐原,栗林,潭子,頭家厝,松竹,太原,精武,臺中,五權,大慶,烏日,新烏日,成功,彰化,花壇,大村,員林,永靖,社頭,田中,二水,源泉,濁水,龍泉,集集,水里,車埕,林內,石榴,斗六,斗南,石龜,大林,民雄,嘉北,嘉義,水上,南靖,後壁,新營,柳營,林鳳營,隆田,拔林,善化,南科,新市,永康,大橋,臺南,保安,仁德,中洲,長榮大學,沙崙,大湖,路竹,岡山,橋頭,楠梓,新左營,左營,內惟,美術館,鼓山,三塊厝,高雄,民族,科工館,正義,鳳山,後庄,九曲堂,六塊厝,屏東,歸來,麟洛,西勢,竹田,潮州,崁頂,南州,鎮安,林邊,佳冬,東海,枋寮,枋山,大武,瀧溪,金崙,太麻里,知本,康樂,臺東,山里,鹿野,瑞源,瑞和,關山,海端,池上,富里,東竹,東里,玉里,三民,瑞穗,富源,大富,光復,萬榮,鳳林,南平,林榮新光,豐田,壽豐,平和,志學,吉安,花蓮,北埔,景美,新城,崇德,和仁,和平,漢本,武塔,南澳,東澳,永樂,蘇澳,蘇澳新,新馬,冬山,羅東,二結,宜蘭,四城,礁溪,頂埔,頭城,外澳,龜山,大溪,大里,石城,福隆,貢寮,雙溪,牡丹,三貂嶺,大華,十分,望古,嶺腳,平溪,菁桐,猴硐,瑞芳,海科館,八斗子,四腳亭,暖暖,總和
0900,基隆,0.0,9.0,76.0,450.0,108.0,133.0,603.0,338.0,977.0,542.0,1274.0,224.0,577.0,42.0,170.0,15.0,18.0,80.0,260.0,73.0,199.0,26.0,15.0,10.0,1.0,2.0,9.0,11.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,14.0,6.0,12.0,11.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,44.0,0.0,0.0,5.0,8.0,6572.0
0910,三坑,21.0,0.0,6.0,61.0,13.0,17.0,97.0,35.0,215.0,141.0,233.0,33.0,53.0,3.0,16.0,1.0,1.0,8.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,1015.0
0920,八堵,70.0,7.0,0.0,22.0,12.0,13.0,126.0,44.0,249.0,220.0,455.0,51.0,115.0,11.0,31.0,2.0,4.0,16.0,17.0,8.0,19.0,9.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,1.0,0.0,27.0,0.0,28.0,0.0,12.0,0.0,4.0,1.0,1.0,3.0,8.0,1.0,6.0,15.0,21.0,8.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,82.0,0.0,0.0,4.0,0.0,1829.0
0930,七堵,455.0,65.0,18.0,0.0,59.0,49.0,398.0,151.0,843.0,718.0,1153.0,86.0,210.0,17.0,59.0,4.0,7.0,23.0,72.0,5.0,56.0,5.0,4.0,1.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,0.0,47.0,1.0,14.0,1.0,2.0,1.0,0.0,3.0,6.0,0.0,10.0,14.0,13.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,156.0,0.0,0.0,35.0,17.0,5207.0
0940,百福,105.0,8.0,13.0,68.0,0.0,14.0,139.0,70.0,627.0,314.0,515.0,52.0,102.0,10.0,31.0,1.0,1.0,7.0,16.0,7.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,39.0,0.0,0.0,2.0,3.0,2191.0
0950,五堵,143.0,19.0,14.0,75.0,8.0,0.0,15.0,19.0,319.0,332.0,442.0,34.0,90.0,8.0,24.0,3.0,4.0,4.0,24.0,4.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2.0,6.0,1668.0
0960,汐止,580.0,115.0,88.0,376.0,155.0,24.0,0.0,29.0,1098.0,1602.0,2699.0,168.0,472.0,50.0,111.0,12.0,8.0,44.0,103.0,26.0,87.0,6.0,12.0,4.0,0.0,1.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,18.0,0.0,14.0,1.0,13.0,1.0,0.0,0.0,3.0,0.0,29.0,18.0,42.0,6.0,9.0,1.0,9.0,0.0,6.0,6.0,3.0,18.0,280.0,2.0,3.0,27.0,29.0,8586.0
0970,汐科,279.0,56.0,54.0,188.0,68.0,20.0,23.0,0.0,585.0,757.0,1528.0,122.0,339.0,45.0,101.0,5.0,7.0,43.0,94.0,28.0,70.0,17.0,8.0,1.0,0.0,0.0,8.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,19.0,4.0,13.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,123.0,0.0,0.0,20.0,16.0,4727.0
0980,南港,857.0,204.0,231.0,824.0,603.0,273.0,1088.0,555.0,0.0,256.0,667.0,165.0,282.0,89.0,252.0,29.0,34.0,175.0,295.0,122.0,221.0,57.0,32.0,10.0,1.0,3.0,16.0,19.0,31.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,4.0,1.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,2.0,2.0,66.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,0.0,47.0,0.0,37.0,1.0,14.0,5.0,2.0,10.0,7.0,3.0,86.0,10.0,33.0,6.0,27.0,3.0,5.0,0.0,0.0,2.0,2.0,32.0,314.0,1.0,5.0,80.0,70.0,8850.0
0990,松山,486.0,134.0,214.0,696.0,342.0,284.0,1642.0,779.0,247.0,0.0,645.0,155.0,393.0,129.0,433.0,19.0,30.0,292.0,522.0,219.0,447.0,85.0,63.0,28.0,0.0,4.0,48.0,46.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,3.0,0.0,1.0,75.0,0.0,0.0,8.0,0.0,1.0,1.0,16.0,20.0,0.0,30.0,0.0,27.0,22.0,0.0,0.0,0.0,1.0,3.0,46.0,0.0,6.0,9.0,0.0,2.0,105.0,0.0,2.0,1.0,1.0,2.0,1.0,162.0,0.0,0.0,0.0,1.0,1.0,37.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,171.0,0.0,9.0,0.0,0.0,16.0,0.0,18.0,1.0,0.0,0.0,62.0,0.0,30.0,0.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,5.0,11.0,532.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,57.0,1.0,66.0,0.0,58.0,0.0,14.0,10.0,0.0,15.0,7.0,1.0,120.0,20.0,72.0,8.0,26.0,1.0,1.0,7.0,0.0,11.0,4.0,40.0,423.0,0.0,5.0,49.0,46.0,11241.0
1000,臺北,1256.0,312.0,464.0,1311.0,580.0,409.0,2962.0,1670.0,638.0,640.0,3.0,94.0,592.0,784.0,3999.0,244.0,351.0,2206.0,4626.0,1676.0,3706.0,638.0,716.0,174.0,1.0,57.0,394.0,329.0,344.0,46.0,2.0,6.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,12.0,1239.0,31.0,14.0,7.0,481.0,0.0,0.0,48.0,0.0,10.0,0.0,72.0,151.0,3.0,238.0,0.0,139.0,128.0,0.0,5.0,0.0,8.0,8.0,351.0,1.0,21.0,24.0,2.0,15.0,733.0,1.0,14.0,2.0,6.0,7.0,4.0,1523.0,5.0,1.0,2.0,6.0,0.0,386.0,1.0,0.0,161.0,0.0,2.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,185.0,25.0,0.0,1.0,8.0,0.0,200.0,0.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,954.0,0.0,26.0,0.0,0.0,66.0,0.0,110.0,14.0,0.0,0.0,206.0,0.0,79.0,0.0,0.0,33.0,0.0,51.0,0.0,10.0,0.0,38.0,0.0,24.0,43.0,3179.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,4.0,30.0,0.0,0.0,270.0,2.0,331.0,0.0,201.0,1.0,114.0,40.0,14.0,62.0,29.0,9.0,508.0,71.0,234.0,37.0,103.0,1.0,52.0,8.0,2.0,39.0,14.0,201.0,1147.0,12.0,10.0,133.0,141.0,46819.0
1010,萬華,193.0,57.0,70.0,88.0,47.0,42.0,189.0,146.0,189.0,147.0,82.0,0.0,126.0,93.0,492.0,50.0,65.0,338.0,440.0,129.0,258.0,42.0,32.0,22.0,0.0,5.0,15.0,24.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,37.0,1.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,1.0,1.0,5.0,1.0,0.0,11.0,0.0,11.0,8.0,32.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,77.0,0.0,0.0,16.0,7.0,3711.0
1020,板橋,527.0,62.0,104.0,225.0,86.0,85.0,509.0,331.0,263.0,380.0,517.0,101.0,0.0,321.0,1950.0,150.0,276.0,1506.0,2521.0,726.0,1830.0,270.0,240.0,82.0,5.0,21.0,134.0,135.0,139.0,36.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,766.0,11.0,12.0,2.0,281.0,0.0,3.0,31.0,0.0,14.0,3.0,45.0,66.0,1.0,89.0,0.0,52.0,58.0,0.0,2.0,1.0,6.0,10.0,177.0,2.0,13.0,7.0,3.0,18.0,290.0,2.0,10.0,1.0,2.0,4.0,0.0,630.0,4.0,2.0,2.0,4.0,0.0,225.0,1.0,0.0,90.0,0.0,2.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,14.0,0.0,5.0,7.0,0.0,126.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,217.0,0.0,6.0,0.0,0.0,26.0,0.0,26.0,4.0,0.0,0.0,73.0,0.0,43.0,0.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,10.0,0.0,2.0,13.0,666.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,5.0,0.0,0.0,108.0,3.0,124.0,1.0,88.0,0.0,27.0,2.0,4.0,10.0,12.0,7.0,183.0,33.0,91.0,14.0,31.0,0.0,13.0,2.0,1.0,20.0,6.0,47.0,279.0,7.0,8.0,17.0,25.0,19354.0
